"voted2004","gender","ageY","ageC","educationC","incomeC","partyAffiliation","percentAttended"
"yes","M",28.537426132633,"(19.2,36.7]","secondary","35k-75k","Democrat",0.344827586206897
"yes","M",51.9752681111841,"(45.8,54.2]","secondary","< 35k","Unaffiliated/Other",0.363636363636364
"yes","F",53.1325235281243,"(45.8,54.2]","primary","35k-75k","Democrat",0.289473684210526
"no","F",45.9345589844605,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.0344827586206897
"no","F",21.6869117968921,"(19.2,36.7]","primary","< 35k","Unaffiliated/Other",0
"yes","F",46.6267235718976,"(45.8,54.2]","primary","35k-75k","Unaffiliated/Other",0.260869565217391
"yes","M",43.8553293937404,"(36.7,45.8]","secondary","< 35k","Democrat",0.136363636363636
"no","F",24.444626833005,"(19.2,36.7]","primary","< 35k","Unaffiliated/Other",0.1
"yes","F",65.7747866053841,"(54.2,108]","secondary","35k-75k","Republican",0.454545454545455
"no","M",43.168636463121,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.159090909090909
"no","F",47.5678485445393,"(45.8,54.2]","primary","35k-75k","Democrat",0.431818181818182
"yes","F",43.5242941562705,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.192307692307692
"yes","M",31.4100459619173,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.146341463414634
"no","M",62.0212300284526,"(54.2,108]","postsec","35k-75k","Unaffiliated/Other",0
"yes","F",43.7787261982928,"(36.7,45.8]","postsec","35k-75k","Democrat",0.340909090909091
"yes","M",33.9297439264609,"(19.2,36.7]","postsec","35k-75k","Unaffiliated/Other",0.0714285714285714
"no","M",29.1940249507551,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.0227272727272727
"no","F",32.8846574742832,"(19.2,36.7]","primary","35k-75k","Unaffiliated/Other",0.113636363636364
"yes","F",44.1562705187131,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.204545454545455
"no","M",56.8231560516524,"(54.2,108]","primary","< 35k","Democrat",0.409090909090909
"yes","F",56.2541037426133,"(54.2,108]","secondary","> 75k","Republican",0.522727272727273
"no","M",63.6818778726198,"(54.2,108]","secondary","35k-75k","Republican",0.159090909090909
"yes","F",50.0848106806741,"(45.8,54.2]","primary","> 75k","Democrat",0.363636363636364
"yes","F",58.3798424162837,"(54.2,108]","secondary","35k-75k","Democrat",0.409090909090909
"yes","M",43.3519369665135,"(36.7,45.8]","secondary","> 75k","Unaffiliated/Other",0
"yes","M",68.4695775880937,"(54.2,108]","secondary","> 75k","Unaffiliated/Other",0.136363636363636
"yes","F",47.5103961479536,"(45.8,54.2]","secondary","< 35k","Democrat",0.204545454545455
"yes","M",59.2635149923397,"(54.2,108]","postsec","< 35k","Democrat",0.545454545454545
"no","M",45.1986211424819,"(36.7,45.8]","primary","< 35k","Unaffiliated/Other",0
"no","M",35.7600131319764,"(19.2,36.7]","primary","35k-75k","Democrat",0.318181818181818
"yes","F",40.1127161304443,"(36.7,45.8]","secondary","35k-75k","Democrat",0.5
"yes","F",43.4504267892318,"(36.7,45.8]","secondary","> 75k","Democrat",0.157894736842105
"yes","F",52.9191289122346,"(45.8,54.2]","secondary","35k-75k","Republican",0.545454545454545
"yes","F",87.6285839352156,"(54.2,108]","secondary","> 75k","Unaffiliated/Other",0.142857142857143
"yes","F",56.9024950755089,"(54.2,108]","primary","35k-75k","Republican",0.227272727272727
"yes","M",63.2578244692493,"(54.2,108]","secondary","35k-75k","Republican",0.0681818181818182
"yes","F",62.3522652659225,"(54.2,108]","primary","35k-75k","Republican",0.227272727272727
"yes","F",75.9274458305975,"(54.2,108]","secondary","> 75k","Republican",0.5
"yes","M",44.9523965856861,"(36.7,45.8]","secondary","35k-75k","Democrat",0.454545454545455
"no","F",42.6570365506675,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.131578947368421
"yes","M",60.1526592252134,"(54.2,108]","secondary","35k-75k","Republican",0.386363636363636
"yes","M",80.4634493324579,"(54.2,108]","primary","< 35k","Democrat",0.431818181818182
"yes","F",46.9386080105056,"(45.8,54.2]","secondary","> 75k","Republican",0.431818181818182
"yes","F",41.921098708689,"(36.7,45.8]","secondary","35k-75k","Democrat",0.5
"yes","M",63.6627270737579,"(54.2,108]","secondary","> 75k","Unaffiliated/Other",0.340909090909091
"no","F",35.6888815933465,"(19.2,36.7]","postsec","< 35k","Unaffiliated/Other",0
"no","F",38.0006565988181,"(36.7,45.8]","postsec","< 35k","Unaffiliated/Other",0.0434782608695652
"yes","M",41.1632742394397,"(36.7,45.8]","secondary","35k-75k","Democrat",0.340909090909091
"yes","F",53.3431823156052,"(45.8,54.2]","primary","< 35k","Unaffiliated/Other",0.363636363636364
"yes","M",38.7393302692055,"(36.7,45.8]","postsec","35k-75k","Unaffiliated/Other",0
"yes","F",49.1245349091705,"(45.8,54.2]","postsec","> 75k","Republican",0.386363636363636
"yes","M",55.7671262858394,"(54.2,108]","postsec","< 35k","Republican",0.295454545454545
"yes","F",38.6709345589845,"(36.7,45.8]","postsec","> 75k","Democrat",0.113636363636364
"no","F",26.3432917487415,"(19.2,36.7]","secondary","> 75k","Unaffiliated/Other",0
"yes","F",49.4774567739111,"(45.8,54.2]","secondary","< 35k","Republican",0.409090909090909
"yes","F",40.1482818997592,"(36.7,45.8]","secondary","> 75k","Democrat",0.227272727272727
"yes","M",48.4870868899103,"(45.8,54.2]","secondary","> 75k","Unaffiliated/Other",0.153846153846154
"yes","M",28.1106369008536,"(19.2,36.7]","secondary","< 35k","Republican",0.206896551724138
"yes","F",44.9742832129569,"(36.7,45.8]","secondary","35k-75k","Republican",0.571428571428571
"no","M",49.7729262420661,"(45.8,54.2]","primary","< 35k","Unaffiliated/Other",0
"yes","F",49.0917049682644,"(45.8,54.2]","secondary","35k-75k","Republican",0.40625
"no","F",73.0028452615452,"(54.2,108]","primary","< 35k","Democrat",0.25
"no","F",104.921755307507,"(54.2,108]","primary","35k-75k","Unaffiliated/Other",0.159090909090909
"no","M",40.3644123440578,"(36.7,45.8]","primary","< 35k","Unaffiliated/Other",0
"yes","M",60.2894506456555,"(54.2,108]","primary","< 35k","Democrat",0.590909090909091
"yes","M",53.3678047712847,"(45.8,54.2]","postsec","35k-75k","Democrat",0.204545454545455
"yes","F",37.6778288465747,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.379310344827586
"yes","M",63.7694243817028,"(54.2,108]","secondary","35k-75k","Democrat",0.25
"yes","F",47.2012475377544,"(45.8,54.2]","secondary","> 75k","Republican",0.295454545454545
"yes","M",47.5569052309039,"(45.8,54.2]","postsec","35k-75k","Unaffiliated/Other",0.204545454545455
"no","M",22.9098270956446,"(19.2,36.7]","postsec","35k-75k","Unaffiliated/Other",0
"yes","F",45.2451302254323,"(36.7,45.8]","secondary","> 75k","Republican",0.295454545454545
"yes","F",71.2792733639746,"(54.2,108]","secondary","35k-75k","Republican",0.568181818181818
"yes","M",25.1285839352156,"(19.2,36.7]","secondary","> 75k","Democrat",0.05
"yes","M",36.98019260232,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0
"yes","M",45.1931494856643,"(36.7,45.8]","secondary","35k-75k","Republican",0.263157894736842
"yes","M",53.865725541694,"(45.8,54.2]","secondary","< 35k","Republican",0.295454545454545
"yes","F",54.992886846137,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.136363636363636
"yes","M",28.4580871087765,"(19.2,36.7]","primary","35k-75k","Unaffiliated/Other",0.40625
"yes","M",44.5064565550449,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.346153846153846
"no","M",55.1242066097614,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0
"yes","F",58.2977675640184,"(54.2,108]","primary","35k-75k","Democrat",0.363636363636364
"no","M",48.1943532501642,"(45.8,54.2]","secondary","< 35k","Unaffiliated/Other",0.113636363636364
"yes","M",60.94057780696,"(54.2,108]","secondary","35k-75k","Republican",0.272727272727273
"yes","F",37.9760341431385,"(36.7,45.8]","secondary","35k-75k","Democrat",0.363636363636364
"no","M",44.8046618516087,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.542857142857143
"yes","M",48.9494418910046,"(45.8,54.2]","primary","35k-75k","Democrat",0.454545454545455
"yes","F",39.6941343838914,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.0714285714285714
"no","M",28.8821405121471,"(19.2,36.7]","secondary","> 75k","Republican",0.40625
"no","F",42.8485445392865,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.0909090909090909
"no","F",52.5497920770409,"(45.8,54.2]","secondary","> 75k","Unaffiliated/Other",0.613636363636364
"no","M",48.5828408842197,"(45.8,54.2]","primary","35k-75k","Unaffiliated/Other",0
"yes","F",43.1741081199387,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.204545454545455
"no","F",57.1623987743489,"(54.2,108]","secondary","35k-75k","Democrat",0.613636363636364
"no","F",31.4291967607792,"(19.2,36.7]","secondary","< 35k","Democrat",0.552631578947368
"yes","F",47.2368133070694,"(45.8,54.2]","secondary","35k-75k","Democrat",0.113636363636364
"yes","F",39.0238564237251,"(36.7,45.8]","secondary","> 75k","Unaffiliated/Other",0.103448275862069
"yes","F",62.899430947691,"(54.2,108]","secondary","< 35k","Democrat",0.613636363636364
"yes","M",44.8347559641059,"(36.7,45.8]","secondary","< 35k","Republican",0.431818181818182
"yes","M",46.5829503173561,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.153846153846154
"yes","M",54.0025169621361,"(45.8,54.2]","primary","35k-75k","Republican",0.159090909090909
"yes","M",78.2966732326549,"(54.2,108]","primary","35k-75k","Republican",0.636363636363636
"no","M",42.8348653972423,"(36.7,45.8]","primary","35k-75k","Democrat",0.522727272727273
"yes","F",44.1042897789451,"(36.7,45.8]","primary","< 35k","Democrat",0.352941176470588
"yes","F",24.3707594659663,"(19.2,36.7]","secondary","35k-75k","Democrat",0.2
"no","F",44.9606040709127,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.409090909090909
"yes","M",45.4804114685927,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.181818181818182
"yes","F",33.6917268548917,"(19.2,36.7]","primary","35k-75k","Democrat",0.176470588235294
"yes","F",27.5771503611294,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.0714285714285714
"yes","F",34.517947034362,"(19.2,36.7]","secondary","> 75k","Unaffiliated/Other",0.0227272727272727
"yes","F",46.8373823593784,"(45.8,54.2]","secondary","< 35k","Unaffiliated/Other",0.0909090909090909
"yes","F",44.7198511709346,"(36.7,45.8]","primary","> 75k","Unaffiliated/Other",0.181818181818182
"no","F",38.9445173998687,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0
"no","F",60.5001094331364,"(54.2,108]","primary","35k-75k","Democrat",0.545454545454545
"no","F",51.0013131976363,"(45.8,54.2]","secondary","> 75k","Unaffiliated/Other",0.159090909090909
"no","M",34.0419128912235,"(19.2,36.7]","primary","35k-75k","Unaffiliated/Other",0.0227272727272727
"yes","F",38.591595535128,"(36.7,45.8]","primary","35k-75k","Democrat",0.206896551724138
"yes","M",41.0565769314949,"(36.7,45.8]","secondary","35k-75k","Republican",0.421052631578947
"yes","F",36.4412344057781,"(19.2,36.7]","secondary","> 75k","Unaffiliated/Other",0.214285714285714
"yes","M",53.4717662508207,"(45.8,54.2]","secondary","> 75k","Unaffiliated/Other",0.514285714285714
"no","M",34.761435762749,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.125
"yes","M",50.3365068942876,"(45.8,54.2]","secondary","35k-75k","Republican",0.5
"yes","F",52.8835631429197,"(45.8,54.2]","postsec","35k-75k","Democrat",0.272727272727273
"no","M",28.9259137666886,"(19.2,36.7]","secondary","> 75k","Unaffiliated/Other",0
"no","M",20.2943751367914,"(19.2,36.7]","postsec","> 75k","Unaffiliated/Other",0.125
"yes","M",50.5416940249508,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.409090909090909
"yes","F",71.2081418253447,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.384615384615385
"no","M",54.0709126723572,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.340909090909091
"no","F",73.0712409717663,"(54.2,108]","secondary","> 75k","Unaffiliated/Other",0.159090909090909
"no","F",104.921755307507,"(54.2,108]","primary","< 35k","Democrat",0.857142857142857
"yes","M",58.2950317356095,"(54.2,108]","primary","> 75k","Republican",0.363636363636364
"yes","F",21.4160647844167,"(19.2,36.7]","postsec","> 75k","Democrat",0.272727272727273
"yes","F",22.4283212956883,"(19.2,36.7]","secondary","> 75k","Unaffiliated/Other",0.117647058823529
"yes","M",53.1598818122127,"(45.8,54.2]","postsec","> 75k","Republican",0.411764705882353
"no","M",38.6408404464872,"(36.7,45.8]","primary","35k-75k","Unaffiliated/Other",0
"no","M",43.7541037426133,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.292682926829268
"no","F",41.5244035894069,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.181818181818182
"no","F",45.8552199606041,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.0714285714285714
"yes","M",61.0253884876341,"(54.2,108]","secondary","35k-75k","Republican",0.227272727272727
"no","M",46.2108776537536,"(45.8,54.2]","primary","35k-75k","Unaffiliated/Other",0.125
"yes","M",52.8726198292843,"(45.8,54.2]","postsec","35k-75k","Democrat",0.478260869565217
"yes","F",56.3224994528343,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.272727272727273
"no","M",33.8996498139637,"(19.2,36.7]","secondary","> 75k","Unaffiliated/Other",0.142857142857143
"no","M",39.7269643247975,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.142857142857143
"yes","F",39.8446049463778,"(36.7,45.8]","secondary","> 75k","Unaffiliated/Other",0.113636363636364
"yes","F",68.1139198949442,"(54.2,108]","postsec","35k-75k","Republican",0.25
"yes","F",21.6595535128037,"(19.2,36.7]","secondary","> 75k","Unaffiliated/Other",0.4
"no","M",43.4504267892318,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.0714285714285714
"yes","F",44.2711753118844,"(36.7,45.8]","primary","35k-75k","Republican",0.210526315789474
"no","F",32.091267235719,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.391304347826087
"no","M",60.2319982490698,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.25
"yes","F",28.4963887065003,"(19.2,36.7]","primary","35k-75k","Republican",0.5
"yes","F",49.5814182534471,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.0526315789473684
"yes","M",43.9374042460057,"(36.7,45.8]","secondary","< 35k","Unaffiliated/Other",0.228571428571429
"yes","F",32.906544101554,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.227272727272727
"no","F",48.145108338805,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.0769230769230769
"no","F",68.8006128255636,"(54.2,108]","secondary","35k-75k","Democrat",0.5
"yes","F",36.3290654410155,"(19.2,36.7]","secondary","> 75k","Democrat",0.347826086956522
"yes","M",67.2439264609324,"(54.2,108]","primary","< 35k","Unaffiliated/Other",0.181818181818182
"yes","M",39.5819654191289,"(36.7,45.8]","primary","> 75k","Republican",0.342105263157895
"yes","F",33.9051214707814,"(19.2,36.7]","secondary","> 75k","Unaffiliated/Other",0
"yes","M",35.6286933683519,"(19.2,36.7]","secondary","35k-75k","Republican",0.0681818181818182
"yes","M",51.8603633180127,"(45.8,54.2]","secondary","35k-75k","Democrat",0.289473684210526
"yes","M",51.2557452396586,"(45.8,54.2]","secondary","> 75k","Unaffiliated/Other",0.295454545454545
"yes","F",77.1859268986649,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.227272727272727
"no","F",27.7713941781571,"(19.2,36.7]","primary","> 75k","Unaffiliated/Other",0.275862068965517
"yes","M",36.5451958853141,"(19.2,36.7]","secondary","> 75k","Unaffiliated/Other",0.0769230769230769
"yes","F",53.5647844167214,"(45.8,54.2]","secondary","35k-75k","Republican",0.318181818181818
"yes","M",64.7242284963887,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.477272727272727
"no","F",19.4818340993653,"(19.2,36.7]","primary","35k-75k","Unaffiliated/Other",0
"yes","M",41.4122346246443,"(36.7,45.8]","secondary","> 75k","Unaffiliated/Other",0.142857142857143
"yes","M",53.70978332239,"(45.8,54.2]","secondary","35k-75k","Democrat",0.295454545454545
"yes","M",76.4691398555483,"(54.2,108]","primary","35k-75k","Unaffiliated/Other",0.227272727272727
"yes","F",46.6212519150799,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.318181818181818
"yes","F",49.8030203545634,"(45.8,54.2]","secondary","> 75k","Republican",0.454545454545455
"yes","F",53.7945940030641,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.363636363636364
"no","F",75.4185817465529,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.136363636363636
"no","M",46.7115342525717,"(45.8,54.2]","primary","> 75k","Democrat",0.431818181818182
"no","F",20.8360691617422,"(19.2,36.7]","postsec","35k-75k","Unaffiliated/Other",0
"yes","M",58.7956883344277,"(54.2,108]","secondary","35k-75k","Republican",0.204545454545455
"yes","M",54.369117968921,"(54.2,108]","postsec","35k-75k","Republican",0.522727272727273
"no","M",19.3395710221055,"(19.2,36.7]","primary","< 35k","Unaffiliated/Other",0
"yes","F",56.1638214051215,"(54.2,108]","primary","> 75k","Unaffiliated/Other",0.136363636363636
"no","M",32.0009848982272,"(19.2,36.7]","secondary","> 75k","Unaffiliated/Other",0
"no","F",48.0520901729044,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.05
"yes","F",46.5337054059969,"(45.8,54.2]","primary","35k-75k","Unaffiliated/Other",0.386363636363636
"yes","F",48.6868023637557,"(45.8,54.2]","postsec","> 75k","Unaffiliated/Other",0.25
"yes","F",23.5390676296783,"(19.2,36.7]","secondary","> 75k","Republican",0.117647058823529
"no","M",62.2975486977457,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.295454545454545
"yes","M",44.8593784197855,"(36.7,45.8]","secondary","> 75k","Unaffiliated/Other",0.142857142857143
"no","F",61.0390676296783,"(54.2,108]","primary","35k-75k","Unaffiliated/Other",0.0714285714285714
"no","F",58.4755964105931,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.0227272727272727
"no","F",51.9150798861895,"(45.8,54.2]","secondary","> 75k","Republican",0.538461538461538
"no","F",32.8162617640622,"(19.2,36.7]","secondary","< 35k","Unaffiliated/Other",0.153846153846154
"no","F",48.3721820967389,"(45.8,54.2]","secondary","< 35k","Democrat",0.341463414634146
"yes","M",104.921755307507,"(54.2,108]","primary","< 35k","Democrat",0.295454545454545
"yes","F",43.2288246881156,"(36.7,45.8]","secondary","35k-75k","Democrat",0.340909090909091
"no","M",41.193368351937,"(36.7,45.8]","primary","35k-75k","Unaffiliated/Other",0
"no","M",49.444626833005,"(45.8,54.2]","primary","35k-75k","Unaffiliated/Other",0
"yes","M",43.1604289778945,"(36.7,45.8]","secondary","> 75k","Unaffiliated/Other",0.315789473684211
"yes","M",35.9378419785511,"(19.2,36.7]","postsec","> 75k","Unaffiliated/Other",0
"yes","M",35.437185379733,"(19.2,36.7]","secondary","> 75k","Unaffiliated/Other",0
"yes","M",35.0158678047713,"(19.2,36.7]","primary","35k-75k","Democrat",0.5
"yes","M",38.6572554169403,"(36.7,45.8]","primary","35k-75k","Democrat",0.454545454545455
"yes","F",49.9644342306851,"(45.8,54.2]","secondary","> 75k","Unaffiliated/Other",0.28125
"no","F",54.4977019041366,"(54.2,108]","secondary","< 35k","Unaffiliated/Other",0.363636363636364
"no","F",83.9434230685052,"(54.2,108]","secondary","< 35k","Unaffiliated/Other",0.431818181818182
"yes","F",39.250930181659,"(36.7,45.8]","secondary","< 35k","Unaffiliated/Other",0.5
"no","M",43.8224994528343,"(36.7,45.8]","primary","< 35k","Unaffiliated/Other",0
"yes","M",36.9829284307288,"(36.7,45.8]","primary","35k-75k","Democrat",0.517241379310345
"yes","F",41.8034580871088,"(36.7,45.8]","primary","< 35k","Democrat",0.3
"yes","M",30.7178813744802,"(19.2,36.7]","secondary","< 35k","Unaffiliated/Other",0.295454545454545
"no","M",23.5253884876341,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.176470588235294
"no","M",47.6636025388488,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.159090909090909
"yes","F",49.6416064784417,"(45.8,54.2]","secondary","> 75k","Republican",0.192307692307692
"no","F",38.7256511271613,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0
"no","M",53.4526154519589,"(45.8,54.2]","primary","< 35k","Unaffiliated/Other",0
"no","F",74.0971766250821,"(54.2,108]","primary","> 75k","Unaffiliated/Other",0.125
"no","F",39.8336616327424,"(36.7,45.8]","primary","35k-75k","Unaffiliated/Other",0
"yes","M",20.3928649595097,"(19.2,36.7]","secondary","> 75k","Unaffiliated/Other",0.2
"no","F",72.0644561173123,"(54.2,108]","primary","< 35k","Unaffiliated/Other",0.363636363636364
"no","M",21.5720070037207,"(19.2,36.7]","secondary","> 75k","Unaffiliated/Other",0
"yes","M",47.6280367695338,"(45.8,54.2]","secondary","< 35k","Unaffiliated/Other",0.0714285714285714
"yes","M",51.3214051214708,"(45.8,54.2]","secondary","35k-75k","Republican",0.363636363636364
"no","F",58.9735171810024,"(54.2,108]","primary","35k-75k","Unaffiliated/Other",0.0344827586206897
"yes","M",53.5210111621799,"(45.8,54.2]","secondary","35k-75k","Republican",0.25
"yes","M",51.5211205953163,"(45.8,54.2]","primary","35k-75k","Unaffiliated/Other",0.5
"yes","F",48.1587874808492,"(45.8,54.2]","secondary","35k-75k","Republican",0.5
"no","F",44.0577806959948,"(36.7,45.8]","secondary","> 75k","Unaffiliated/Other",0.2
"no","F",51.1134821623988,"(45.8,54.2]","primary","< 35k","Unaffiliated/Other",0.0571428571428571
"yes","F",45.0536222368133,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.25
"yes","M",47.5158678047713,"(45.8,54.2]","primary","< 35k","Democrat",0.454545454545455
"yes","F",43.8744801926023,"(36.7,45.8]","primary","> 75k","Unaffiliated/Other",0.170731707317073
"yes","F",57.7341869117969,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.318181818181818
"yes","M",48.6238783103524,"(45.8,54.2]","secondary","> 75k","Unaffiliated/Other",0.363636363636364
"yes","F",35.5958634274458,"(19.2,36.7]","secondary","35k-75k","Republican",0.25
"yes","F",48.7387831035238,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.0909090909090909
"yes","M",56.9134383891442,"(54.2,108]","secondary","35k-75k","Republican",0.477272727272727
"yes","F",41.781571459838,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.25
"yes","F",86.3892536660101,"(54.2,108]","secondary","35k-75k","Democrat",0.272727272727273
"yes","F",57.715036112935,"(54.2,108]","secondary","> 75k","Democrat",0.409090909090909
"no","F",65.2932808054279,"(54.2,108]","primary","> 75k","Unaffiliated/Other",0.4
"yes","F",56.2623112278398,"(54.2,108]","secondary","35k-75k","Democrat",0.363636363636364
"no","F",19.3778726198293,"(19.2,36.7]","primary","35k-75k","Unaffiliated/Other",0.2
"yes","M",20.7922959072007,"(19.2,36.7]","primary","< 35k","Unaffiliated/Other",0.125
"yes","F",44.4052309039177,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.409090909090909
"yes","F",41.3739330269206,"(36.7,45.8]","primary","35k-75k","Unaffiliated/Other",0.413793103448276
"yes","F",36.9528343182316,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.0681818181818182
"no","F",41.6858174655286,"(36.7,45.8]","primary","< 35k","Unaffiliated/Other",0.545454545454545
"yes","M",54.4156270518713,"(54.2,108]","primary","35k-75k","Republican",0.25
"yes","M",39.1770628146203,"(36.7,45.8]","secondary","> 75k","Unaffiliated/Other",0.0869565217391304
"no","M",52.8151674326986,"(45.8,54.2]","postsec","35k-75k","Unaffiliated/Other",0.159090909090909
"no","M",47.0480411468593,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.192307692307692
"yes","F",69.7937185379733,"(54.2,108]","secondary","35k-75k","Democrat",0.375
"no","M",39.2181002407529,"(36.7,45.8]","secondary","35k-75k","Republican",0.268292682926829
"no","M",45.8196541912891,"(45.8,54.2]","postsec","> 75k","Republican",0.447368421052632
"yes","F",61.4330269205515,"(54.2,108]","postsec","35k-75k","Unaffiliated/Other",0.340909090909091
"yes","F",49.6552856204859,"(45.8,54.2]","secondary","< 35k","Unaffiliated/Other",0.172413793103448
"yes","F",53.1270518713066,"(45.8,54.2]","secondary","35k-75k","Democrat",0.431818181818182
"yes","F",47.6608667104399,"(45.8,54.2]","postsec","35k-75k","Democrat",0.363636363636364
"yes","F",40.3370540599694,"(36.7,45.8]","primary","< 35k","Republican",0.363636363636364
"no","M",71.4406872400963,"(54.2,108]","postsec","35k-75k","Republican",0.590909090909091
"no","F",52.946487196323,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.340909090909091
"yes","F",59.4358721820967,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.0681818181818182
"yes","F",56.8505143357409,"(54.2,108]","primary","35k-75k","Democrat",0.636363636363636
"no","M",37.2236813307069,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.176470588235294
"yes","M",52.2050776975268,"(45.8,54.2]","primary","< 35k","Unaffiliated/Other",0.210526315789474
"yes","F",43.8170277960166,"(36.7,45.8]","primary","> 75k","Unaffiliated/Other",0.142857142857143
"yes","M",63.435653315824,"(54.2,108]","primary","< 35k","Democrat",0.5
"yes","F",40.2248850952068,"(36.7,45.8]","primary","35k-75k","Republican",0.454545454545455
"yes","F",53.8383672576056,"(45.8,54.2]","secondary","> 75k","Republican",0.431818181818182
"no","M",38.8268767782885,"(36.7,45.8]","secondary","35k-75k","Republican",0.477272727272727
"no","F",39.1250820748523,"(36.7,45.8]","secondary","> 75k","Unaffiliated/Other",0.142857142857143
"yes","F",40.2960166338367,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.217391304347826
"no","F",49.7483037863865,"(45.8,54.2]","primary","< 35k","Unaffiliated/Other",0.5
"yes","F",76.4964981396367,"(54.2,108]","primary","35k-75k","Democrat",0.514285714285714
"yes","M",58.4017290435544,"(54.2,108]","postsec","> 75k","Democrat",0.409090909090909
"yes","M",35.4317137229153,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.130434782608696
"yes","F",41.9265703655067,"(36.7,45.8]","primary","< 35k","Unaffiliated/Other",0.318181818181818
"yes","F",35.3031297876997,"(19.2,36.7]","primary","> 75k","Unaffiliated/Other",0.25
"yes","F",39.6859268986649,"(36.7,45.8]","secondary","> 75k","Democrat",0.214285714285714
"yes","M",49.6087765375356,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.125
"yes","F",37.4671700590939,"(36.7,45.8]","secondary","> 75k","Unaffiliated/Other",0.228571428571429
"no","F",56.1692930619392,"(54.2,108]","secondary","35k-75k","Democrat",0.636363636363636
"no","F",63.123768877216,"(54.2,108]","primary","< 35k","Democrat",0.409090909090909
"yes","M",44.243817027796,"(36.7,45.8]","postsec","> 75k","Democrat",0.35
"no","M",45.6089954038083,"(36.7,45.8]","secondary","> 75k","Democrat",0.342105263157895
"no","M",66.6912891223462,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0
