"voted2004","gender","ageY","ageC","educationC","incomeC","partyAffiliation","percentAttended"
"yes","F",43.8826876778288,"(36.7,45.8]","secondary","> 75k","Democrat",0.318181818181818
"yes","M",31.0926898664916,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.142857142857143
"yes","M",42.7664696870212,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.15625
"no","F",25.6483913328956,"(19.2,36.7]","postsec","> 75k","Unaffiliated/Other",0
"no","F",25.623768877216,"(19.2,36.7]","primary","< 35k","Unaffiliated/Other",0
"yes","M",51.7263077259794,"(45.8,54.2]","secondary","< 35k","Democrat",0.25
"yes","F",80.6139198949442,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.0681818181818182
"yes","F",40.7009192383454,"(36.7,45.8]","secondary","35k-75k","Republican",0.386363636363636
"yes","F",50.555373166995,"(45.8,54.2]","secondary","35k-75k","Republican",0.228571428571429
"yes","M",50.9383891442329,"(45.8,54.2]","secondary","< 35k","Democrat",0.5
"no","M",36.4029328080543,"(19.2,36.7]","primary","35k-75k","Unaffiliated/Other",0
"yes","F",46.3722915298752,"(45.8,54.2]","postsec","< 35k","Republican",0.136363636363636
"yes","M",22.2915298752462,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.285714285714286
"yes","F",36.6053841103086,"(19.2,36.7]","postsec","> 75k","Unaffiliated/Other",0.142857142857143
"yes","M",57.7068286277085,"(54.2,108]","secondary","35k-75k","Democrat",0.227272727272727
"no","M",39.494418910046,"(36.7,45.8]","primary","35k-75k","Democrat",0.204545454545455
"yes","F",42.8704311665572,"(36.7,45.8]","secondary","> 75k","Unaffiliated/Other",0.269230769230769
"yes","M",76.3432917487415,"(54.2,108]","secondary","35k-75k","Republican",0.431818181818182
"yes","M",39.4397023418691,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.204545454545455
"yes","F",45.51050558109,"(36.7,45.8]","postsec","> 75k","Democrat",0.384615384615385
"yes","M",39.9294156270519,"(36.7,45.8]","primary","> 75k","Unaffiliated/Other",0.227272727272727
"yes","M",47.5459619172685,"(45.8,54.2]","primary","35k-75k","Unaffiliated/Other",0.153846153846154
"yes","F",43.5790107244474,"(36.7,45.8]","secondary","< 35k","Republican",0.227272727272727
"yes","F",44.8593784197855,"(36.7,45.8]","secondary","> 75k","Republican",0.409090909090909
"yes","M",64.510833880499,"(54.2,108]","primary","> 75k","Democrat",0.477272727272727
"no","M",48.8153862989713,"(45.8,54.2]","primary","< 35k","Unaffiliated/Other",0.318181818181818
"no","F",55.1515648938499,"(54.2,108]","secondary","> 75k","Unaffiliated/Other",0
"yes","F",60.1882249945283,"(54.2,108]","primary","35k-75k","Democrat",0.5
"yes","M",79.1064784416721,"(54.2,108]","primary","< 35k","Democrat",0.357142857142857
"yes","M",69.8539067629678,"(54.2,108]","postsec","35k-75k","Unaffiliated/Other",0.368421052631579
